,logFC,AveExpr,t,P.Value,adj.P.Val,B
MOSPD3,9.21441330471218,9.05199801838469,51.9246407737302,8.25480684481392e-29,1.69483102447109e-28,55.491210449205
LINC01210,8.7296811665638,8.53537818893056,51.9164151286429,8.29020613531258e-29,1.70193151343132e-28,55.4872714259594
FOXA3,9.05172476911373,9.14032700576482,51.9103197191774,8.31653935316173e-29,1.70716957577152e-28,55.4843520272583
CATSPERE,9.78368466147461,9.73458326685886,51.9093110829587,8.3209051868912e-29,1.70789771752188e-28,55.4838689008503
APBB2,7.9281724896015,7.8782748957034,51.9063021798009,8.33394319683926e-29,1.71040553834196e-28,55.4824276000947
CYP2S1,9.60946540596175,9.48788424167344,51.8922932936246,8.39492504298381e-29,1.7227515861374e-28,55.4757158539001
KIF24,7.68440156345475,7.7158203212085,51.8796153090052,8.45051198216959e-29,1.73398820666885e-28,55.469639875044
LGR6,6.97574783116101,7.30510322099859,51.8694472744991,8.49536955461707e-29,1.74302123965796e-28,55.4647655119787
ZNF571,7.66650363322475,7.54120620605315,51.8567340903558,8.55180275001784e-29,1.7544272688649e-28,55.4586694380521
ODR4,9.75972179476126,9.86516650930251,51.8487278301681,8.58754137877843e-29,1.76158592177065e-28,55.4548294510339
ULK3,8.44111878890871,8.48989647222981,51.8414325053419,8.62024128299313e-29,1.76811988640058e-28,55.4513298250709
LOC728024,7.88302677122941,7.88061479989431,51.8278098866615,8.68164797251469e-29,1.78054011013175e-28,55.4447933623284
SEC14L5,8.69388657279819,8.59703774607497,51.8246137630839,8.696120685438e-29,1.78333303587543e-28,55.443259486026
LMNTD1,8.97746878188403,8.96396730516924,51.8175695915672,8.72810650689003e-29,1.78971651215588e-28,55.4398784624115
DTX2,9.21458056779119,9.21186359361102,51.8119599212867,8.75366581140129e-29,1.79478109245655e-28,55.4371855683536
HES1,11.9431661628909,11.6167928233678,51.8072380522547,8.77524015217511e-29,1.79902771280147e-28,55.4349185875514
